Model,N_Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz
K-Means,6,0.4284167762892593,0.8253539040983219,135.10210365783408
Jerarquico,6,0.4201169558789579,0.8521020845733146,127.98645433956887
DBSCAN,6,0.5190232911585904,0.7795641652891078,175.36007213852142
